NTAName,County Name,Total Population,Male_Pop,Female_Pop,Hsp_Pop,Not_Hsp_Pop,White_Pop,Black_Pop,AmericanIndian_AlaskanNative_Pop,Asian_Pop,NativeHawaiian_Pop,Other_Pop,Two+_Pop,BoroCode,Shape_Leng,Shape_Area,Male_Pop_WA,Female_Pop_WA,Hsp_Pop_WA,Not_Hsp_Pop_WA,White_Pop_WA,Black_Pop_WA,AmericanIndian_AlaskanNative_Pop_WA,Asian_Pop_WA,NativeHawaiian_Pop_WA,Other_Pop_WA,Two+_Pop_WA
Corona, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,22083.4234592,24025748.2771,78663.25301204821,78667.25301204821,100750.67647124821,24126498.95357125,24205162.206583295,24283829.45959534,24384580.13606659,48511079.08963784,72716241.29622114,97000070.75581649,121384650.89188308
Crotona Park, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,11725.2461047,6339738.9994,73248.22448979592,73250.22448979592,84975.47059449591,6424714.469994496,6497962.694484292,6571212.918974088,6656188.389568583,13080902.859563079,19578865.55404737,26150078.47302146,32806266.86259004
Crotona Park East, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,20755.6379171,15978392.2166,73248.22448979592,73250.22448979592,94005.86240689592,16072398.079006895,16145646.303496692,16218896.527986487,16312902.390393382,32385300.46940028,48530946.77289697,64749843.30088346,81062745.69127685
Crown Heights (North), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,30149.1116259,35416337.7121,110544.24637681161,110547.2463768116,140696.3580027116,35557034.07010271,35667578.31647953,35778125.56285633,35918821.92085905,71475855.99096175,107143434.30744126,142921559.87029758,178840381.79115665
Crown Heights (South), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,24197.4181415,20053793.0198,110544.24637681161,110547.2463768116,134744.66451831162,20188537.68431831,20299081.930695124,20409629.177071933,20544373.841590248,40732911.52590856,61031993.456603676,81441622.6336756,101985996.47526586
Cunningham Park, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,28158.2104288,21304892.4242,78663.25301204821,78667.25301204821,106825.46344084821,21411717.88764085,21490381.140652895,21569048.39366494,21675873.85710579,43087591.74474663,64577972.88539953,86147021.27906448,107822895.13617027
Cypress Hills, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,31089.661731500004,24378886.8162,110544.24637681161,110547.2463768116,141636.90810831162,24520523.724308312,24631067.970685124,24741615.217061933,24883252.125170246,49403775.84947856,74034843.82016368,98776459.03722563,123659711.16239586
Douglaston-Little Neck, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,51882.3068328,68149461.0396,78663.25301204821,78667.25301204821,130549.5598448482,68280010.59944485,68358673.8524569,68437341.10546894,68567890.6653138,136847901.26475865,205206575.1172155,273643916.22268444,342211806.8879983
Downtown Brooklyn-DUMBO-Boerum Hill, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,30570.846016200005,23733661.7113,110544.24637681161,110547.2463768116,141118.0923930116,23874779.80369301,23985324.050069824,24095871.296446636,24236989.388839647,48111769.19253266,72097093.24260248,96192964.53904912,120429953.92788878
Dyker Beach Park, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,14627.5017594,9989377.55306,110544.24637681161,110547.2463768116,125174.74813621161,10114552.301196214,10225096.547573024,10335643.793949837,10460818.542086048,20575370.84328226,30800467.390855283,41136111.184805125,51596929.726891175
Dyker Heights, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,25001.4902557,29119072.894,110544.24637681161,110547.2463768116,135548.7366325116,29254621.630632512,29365165.877009325,29475713.123386133,29611261.86001865,58865883.49065116,88231049.36766048,117706762.49104664,147318024.35106528
