NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Hutchinson Metro Center,8021,20.633337489091137,45.904500685700036,0.0,15.085400822840045,0.0,1.3090637077671112,2.8924074304949507,14.175289864106718
Inwood,82181,17.760796291113518,24.68453778853993,0.08152736033876444,9.758946715177474,0.0,0.36383105584015774,2.434869373699517,44.91549141529064
Inwood Hill Park,10385,39.56668271545498,34.58834857968223,0.0,6.653827636013481,0.20221473278767454,0.0,2.474723158401541,16.514203177660086
Jackson Heights,222912,23.042276772896926,12.220517513637668,0.1179837783519954,13.26532443296009,0.04486075222509331,0.4450186620729256,2.32692721791559,48.53709086993971
Jacob Riis Park-Fort Tilden-Breezy Point Tip,2180,1.5137614678899083,58.11926605504587,0.0,0.0,0.0,0.0,0.0,40.36697247706422
Jamaica,143915,24.35117951568634,23.12545599833235,0.2911440781016572,21.548830907132682,0.08963624361602335,2.2158913247402983,2.3882152659555986,25.98964666643505
Jamaica Bay (East),0,,,,,,,,
Jamaica Bay (West),0,,,,,,,,
Jamaica Estates-Holliswood,38596,39.18540781428127,22.551559747124053,0.41195978857912735,17.250492278992642,0.0,1.3161985697999792,1.9328427816354026,17.351539019587523
Jamaica Hills-Briarwood,93911,28.93484256370393,24.614794858962206,0.14694764191628243,18.73369466835621,0.0,1.7846684626934013,2.9464067042199527,22.83864510014801
John F. Kennedy International Airport,0,,,,,,,,
Kensington,46916,39.741239662375314,12.281524426634837,0.15772870662460567,25.799300878165234,0.0,1.7968283741154403,5.286043140932731,14.937334811151844
Kew Gardens,90009,59.255185592551854,5.3794620537946205,0.2110900021109,13.250897132508971,0.06554900065549,0.60549500605495,2.4442000244420004,18.788121187881213
Kew Gardens Hills,33919,50.1076093045196,6.875202688758512,0.4039034169639435,23.273091777469855,0.0,0.1709956071818155,3.013060526548542,16.15613667855774
Kingsbridge Heights-Van Cortlandt Village,94567,21.872323326318906,17.954466145695644,0.0,3.3563505239671345,0.10574513308024998,0.5001744794695824,2.5526875125572346,53.65825287891125
Kingsbridge-Marble Hill,86521,21.50460581824066,13.237248760416545,0.14216201846950452,8.209567619421874,0.0,0.5802059615584655,2.6525352226627064,53.673674599230246
Kissena Park,0,,,,,,,,
LaGuardia Airport,4168,52.66314779270633,43.11420345489444,0.0,0.0,0.0,0.0,0.527831094049904,3.694817658349328
Laurelton,53682,15.874967400618456,60.70749972057673,0.2496181215304944,5.7523937260161695,0.0,0.3595246078760106,1.6430088297753436,15.412987593606795
Lincoln Terrace Park,0,,,,,,,,
Long Island City-Hunters Point,25180,43.876092136616364,6.243050039714059,0.0,27.855440826052423,0.0,0.20651310563939632,5.107227958697378,16.711675933280382
Longwood,102403,32.244172534007795,17.17625460191596,0.08007577902991123,6.702928625137935,0.2773356249328633,0.4931496147573802,2.004824077419607,41.02125914279855
Lower East Side,50354,29.41772252452635,9.26043611232474,0.474639551972038,22.87603765341383,0.0,0.826150851968066,2.686976208444215,34.458037097350754
Madison,65831,40.1148395132992,18.226975133295863,0.10177575914083031,22.057996992298463,0.176208777019945,2.825416597043946,4.555604502438062,11.941182725463689
Manhattanville-West Harlem,28142,14.572525051524412,30.950181223793617,0.14924312415606567,4.86461516594414,0.0,0.1847772013360813,1.588373249946699,47.69028498329899
Mapleton-Midwood (West),88626,36.35389163450906,20.9735292126464,0.18053392909529933,19.688353304899238,0.01241170762530183,1.750050775167558,3.377112811138944,17.664116624918197
Marine Park-Mill Basin-Bergen Beach,55424,52.3347286374134,27.25173210161663,0.22192551963048499,8.34656466512702,0.0,0.6170612009237875,2.980658198614319,8.247329676674365
Marine Park-Plumb Island,0,,,,,,,,
Mariner's Harbor-Arlington-Graniteville,68934,20.12504714654597,27.87884063016799,0.10734905851974352,5.351495633504512,0.0,0.7572460614500827,2.601038674674326,43.17898279513738
Maspeth,84885,44.784119691347115,7.553749190080697,0.07303999528774224,9.797961948518584,0.0,0.4193909406844555,2.3690875890911234,35.00265064499028
McGuire Fields,0,,,,,,,,
Melrose,132463,46.588103847866954,11.813865003812385,0.218929059435465,6.493888859530586,0.07247306795105049,0.2604500879490877,2.8317341446290665,31.720555928825405
Middle Village,42227,60.4731569848675,2.2663224950860825,0.06157198001278802,12.274137400241552,0.0,1.6482345418807873,0.5801975039666565,22.696379093944632
Middle Village Cemetery,0,,,,,,,,
Midtown South-Flatiron-Union Square,90143,35.64558534772528,8.490953263148553,0.09207592380994642,15.81376257723839,0.0,0.9573677379275152,3.2015797122350045,35.798675437915314
Midtown-Times Square,96023,31.826749841183883,10.720348249898462,0.024994011851327286,18.66844401862054,0.06769211543067807,2.6087499869822857,2.9597075700613393,33.12331420597149
Midwood,62300,57.09309791332263,15.428571428571427,0.36918138041733545,12.451043338683789,0.0738362760834671,1.8892455858747996,3.112359550561798,9.58266452648475
Miller Field,233,8.15450643776824,51.931330472103,0.0,0.0,0.0,0.0,0.0,39.91416309012876
Montefiore Cemetery,0,,,,,,,,
