NTAName,Population,Weighted Median Income,Below Poverty Line %,EAPop,Bachelor degree,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino,NormalizedSD,Total_NYPD_Complaints,avg_compound_score,norm_compound_score
Gravesend (South),3812.636363636364,74002.78210019314,20.27747402952433,23000,15.02608695652174,38245,34.72349326709374,27.185252974245,0.0784416263563864,18.415479147600998,0.0,1.4224081579291412,2.593803111517845,15.581121715256897,1.6464905683273023,0.041652173913043475,-0.4465233642942594,0.3534790847712676
Gravesend (West),3605.21875,70211.41039465359,19.072704611549646,57692,14.905012826735076,104807,25.08992719951912,30.388237426889425,0.1183127081206407,24.412491532054155,0.0696518362323127,0.6507198946635244,2.501741295905808,16.768918106615015,1.2572245409492129,0.027421479581224432,-0.4533405853185193,0.3365172288423923
Great Kills-Eltingville,4387.55,133839.29856070018,6.388188821563265,54152,15.870143300339784,65215,76.06072222648163,1.9704055815379895,0.3358123131181476,6.089089933297554,0.0,0.1993406424902246,0.7298934294257456,14.6147358736487,0.3643634535891495,0.019519131334022752,-0.3912671904666521,0.4909613897030652
Greenpoint,2594.782608695652,122756.58582439678,9.31153506542156,26308,33.12680553443819,50984,59.84818766671896,2.1516554213086456,0.4275851247450181,10.766122705162404,0.0,0.6276478895339714,4.0561744861132905,22.1226267064177,1.204308978949537,0.05956363083472708,-0.3419713348722243,0.6136138895278158
Greenwich Village,4752.2,191181.57301881237,7.932709227845429,32189,28.87943086147441,69844,60.25571273122959,8.854017524769485,0.0,10.968730313269573,0.0186129087681117,0.3364641200389439,3.0668346600996506,16.49962774182464,4.010946936235724,0.08381745316723105,-0.2553696087267146,0.82908673349821
Hamilton Heights-Sugar Hill,5552.0625,59595.84357164567,23.975283213182287,52510,15.84269662921348,93142,20.3431319920122,25.68229155483026,0.0182517017027764,5.29191986429323,0.0,0.6345150415494621,2.4414335101243263,45.58845633548775,2.6612441313331097,0.0606360693201295,-0.2791901814617266,0.769819017014215
Harlem (North),4930.571428571428,66671.51752911862,25.085935608811425,82712,13.491391817390465,185928,25.647562497310787,30.496213588055596,0.14952024439568,11.573297190310228,0.0016135278172195,1.31018458758229,2.6171421195301408,28.204466244998063,1.7880294874143277,0.07362897765741368,-0.2832645860305582,0.7596815338599299
Harlem (South),4862.391304347826,74042.01066750124,18.83056452091955,49945,17.543297627390128,100987,28.65517343816531,30.40886450731282,0.1277392139582322,11.542079673621355,0.0257458880846049,1.3090793864556824,2.341885589234258,25.589432303167737,2.945625420351825,0.09874862348583442,-0.2722739412083383,0.7870272416456285
Hell's Kitchen,4341.681818181818,153606.76601023902,14.020745908042215,27122,35.93024113265984,87326,45.72292329890296,10.206582232095824,0.2301719991755033,13.222866042186748,0.0,0.3046057302521586,3.640382016810572,26.672468680576237,2.3140907753379767,0.16116068136568099,-0.2769219904270777,0.7754624792713385
Highbridge,5476.272727272727,37785.73171865403,33.89685948399281,32234,6.908854005087796,95227,25.614584099047537,22.61858506516009,0.184821531708444,8.402028836359436,0.0147017127495353,0.4736051750028878,2.1622018965209446,40.52947168345112,3.259508478523635,0.06598622572439039,-0.3153587034243015,0.6798284979293274
Highland Park-Cypress Hills Cemeteries (North),2035.9375,84556.08515732925,0.0,17,29.411764705882355,3569,71.3925469319137,3.0540767722051,0.7004763239002522,7.032782291958532,0.0,2.1014289717007566,4.483048472961614,11.235640235360044,1.362227472151481,3.0,-0.4015127825060387,0.4654694399100815
Hollis,2689.3846153846152,87207.69928779818,8.957119705663352,21189,10.467695502383313,43248,25.4878838327784,33.46281908990011,0.1341102478727339,19.3326859045505,0.0,3.32732149463559,3.0660377358490565,15.189141694413614,1.7384340166046974,0.04662796734154514,-0.401708463906611,0.4649825670754387
Holy Cross Cemetery,2172.333333333333,75906.4853460181,0.0,26,42.30769230769231,24,0.0,20.833333333333336,0.0,0.0,0.0,0.0,0.0,79.16666666666666,9.946824887673388,1.3461538461538463,-0.574307320981344,0.0355411661333326
