NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Glendale,41557.4902549,30006442.3282,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,30054029.213073738,60108058.426147476,120216116.85229495,240432233.7045899,480864467.4091798,961728934.8183596,1923457869.6367192,3846915739.2734385,7693831478.546877,15387662957.093754,30775325914.187508
Hart Island,16968.1030104,4905120.41555,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,4929968.371067775,9859936.74213555,19719873.4842711,39439746.9685422,78879493.9370844,157758987.8741688,315517975.7483376,631035951.4966753,1262071902.9933505,2524143805.986701,5048287611.973402
Highbridge,15718.8767396,13050500.441,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,13074099.170246974,26148198.340493947,52296396.680987895,104592793.36197579,209185586.72395158,418371173.44790316,836742346.8958063,1673484693.7916126,3346969387.5832253,6693938775.1664505,13387877550.332901
Highland Park-Cypress Hills Cemeteries (North),33067.8272172,31227049.9902,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,31266147.212036036,62532294.42407207,125064588.84814414,250129177.6962883,500258355.3925766,1000516710.7851532,2001033421.5703063,4002066843.1406126,8004133686.281225,16008267372.56245,32016534745.1249
Hollis,22923.7455112,24469310.8751,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,24498264.015230034,48996528.03046007,97993056.06092013,195986112.12184027,391972224.24368054,783944448.4873611,1567888896.9747221,3135777793.9494443,6271555587.898889,12543111175.797777,25086222351.595554
Howard Beach-Lindenwood,73875.0861483,52604804.0465,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,52684708.52726713,105369417.05453426,210738834.1090685,421477668.218137,842955336.436274,1685910672.872548,3371821345.745096,6743642691.490192,13487285382.980385,26974570765.96077,53949141531.92154
Hunts Point,37430.317447,45038858.6373,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,45084168.807254374,90168337.61450875,180336675.2290175,360673350.458035,721346700.91607,1442693401.83214,2885386803.66428,5770773607.32856,11541547214.65712,23083094429.31424,46166188858.62848
Hutchinson Metro Center,20683.484157,12189729.3358,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,12218292.672464374,24436585.34492875,48873170.6898575,97746341.379715,195492682.75943,390985365.51886,781970731.03772,1563941462.07544,3127882924.15088,6255765848.30176,12511531696.60352
Jackson Heights,27112.8052247,39315143.6312,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,39348285.831043534,78696571.66208707,157393143.32417414,314786286.6483483,629572573.2966965,1259145146.593393,2518290293.186786,5036580586.373572,10073161172.747145,20146322345.49429,40292644690.98858
Jacob Riis Park-Fort Tilden-Breezy Point Tip,63380.5467753,52637903.9736,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,52707313.91499412,105414627.82998824,210829255.65997648,421658511.31995296,843317022.6399059,1686634045.2798119,3373268090.5596237,6746536181.119247,13493072362.238495,26986144724.47699,53972289448.95398
Jamaica,41767.6656155,46830463.4565,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,46878260.516734324,93756521.03346865,187513042.0669373,375026084.1338746,750052168.2677492,1500104336.5354984,3000208673.0709968,6000417346.1419935,12000834692.283987,24001669384.567974,48003338769.13595
Jamaica Bay (East),148864.816272,69920670.4073,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,70075564.61819082,140151129.23638165,280302258.4727633,560604516.9455266,1121209033.8910532,2242418067.7821064,4484836135.564213,8969672271.128426,17939344542.25685,35878689084.5137,71757378169.0274
Jamaica Estates-Holliswood,32384.3000502,39411596.0748,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,39450009.76946903,78900019.53893806,157800039.07787612,315600078.15575224,631200156.3115045,1262400312.623009,2524800625.246018,5049601250.492036,10099202500.984072,20198405001.968143,40396810003.93629
Jamaica Hills-Briarwood,29649.1629441,27602417.6831,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,27638096.240662932,55276192.481325865,110552384.96265173,221104769.92530346,442209539.8506069,884419079.7012138,1768838159.4024277,3537676318.8048553,7075352637.609711,14150705275.219421,28301410550.438843
John F. Kennedy International Airport,103582.253943,197189858.869,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,197299470.5175618,394598941.0351236,789197882.0702472,1578395764.1404943,3156791528.2809887,6313583056.561977,12627166113.123955,25254332226.24791,50508664452.49582,101017328904.99164,202034657809.98328
Kew Gardens,21653.2155934,20284898.865,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,20312581.47521223,40625162.95042446,81250325.90084893,162500651.80169785,325001303.6033957,650002607.2067914,1300005214.4135828,2600010428.8271656,5200020857.654331,10400041715.308662,20800083430.617325
Kew Gardens Hills,28339.304904799996,34306412.9191,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,34340781.61862364,68681563.23724727,137363126.47449455,274726252.9489891,549452505.8979782,1098905011.7959564,2197810023.5919127,4395620047.1838255,8791240094.367651,17582480188.735302,35164960377.470604
Kingsbridge Heights-Van Cortlandt Village,20452.7868037,10966721.1851,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,10995053.824411076,21990107.64882215,43980215.2976443,87960430.5952886,175920861.1905772,351841722.3811544,703683444.7623088,1407366889.5246177,2814733779.0492353,5629467558.098471,11258935116.196941
