NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
Kew Gardens Hills,34308,11.938906377521278,34290,171.50297619047618,18.601190476190478,27.083333333333332,93.30357142857143,66.55505952380952,214.36011904761907,102.79017857142858,29.985119047619047,19.605654761904763
Kingsbridge Heights-Van Cortlandt Village,35287,25.085725621333637,35851,95.0752688172043,26.27956989247312,20.086021505376344,66.36559139784947,34.68817204301075,75.16129032258064,42.86021505376344,5.913978494623656,3.9569892473118284
Kingsbridge-Marble Hill,26197,26.632820551971598,24565,163.872437357631,31.11617312072893,41.73120728929385,98.22323462414579,40.501138952164006,142.87015945330296,42.687927107061505,21.685649202733483,8.701594533029612
Laurelton,28721,5.445492844956652,25941,343.27666151468316,70.01545595054097,69.629057187017,254.2503863987635,142.89026275115918,257.49613601236473,156.64605873261206,17.8516228748068,9.505409582689335
Longwood,39828,32.01516521040474,38758,123.99066511085182,29.778296382730456,20.49008168028005,75.07584597432906,36.94282380396733,56.47607934655776,15.962660443407234,1.4002333722287048,0.0
Lower East Side,44567,24.865932191980615,44909,143.1095406360424,17.226148409893995,16.25441696113074,65.21643109540636,36.30742049469965,207.64134275618375,78.90901060070671,15.304770318021202,13.030035335689046
Madison,42716,15.490682648188034,41116,79.2050209205021,30.306834030683405,13.361227336122733,37.04323570432357,25.955369595536958,95.29986052998606,46.65271966527197,10.237099023709902,6.429567642956764
Manhattanville-West Harlem,23767,26.713510329448393,23769,52.39454487789407,10.894386298763083,5.677132889311767,28.49666983824929,15.080875356803045,44.5290199809705,24.83349191246432,4.123057405645417,3.56803044719315
Mapleton-Midwood (West),38194,19.696811017437295,37245,300.8022922636103,33.06590257879656,56.561604584527224,122.75071633237822,86.4756446991404,241.48997134670486,131.00286532951287,35.24355300859599,12.206303724928366
Marine Park-Mill Basin-Bergen Beach,46668,5.809119739436016,43042,219.59924859110833,42.26675015654352,34.03256105197245,104.1014402003757,78.14652473387602,214.8716343143394,118.97307451471508,33.37507827175955,11.92861615529117
Mariner's Harbor-Arlington-Graniteville,33719,16.791719801892107,32780,99.50728803120509,32.8679942516937,27.078628618353523,50.48244713611169,30.301786080886885,71.03264216793266,28.864709505235066,3.551632108396633,2.853623485937179
Maspeth,43754,10.691593911413813,38434,236.0076149034539,24.25890671743269,29.12700571117759,77.67201522980692,68.26217024748436,138.02012510198531,50.53032363339679,9.62741365243405,2.9915692140331793
Melrose,42497,40.67110619573147,42877,140.23316678562932,28.146561979538426,28.551034975017846,73.09064953604569,40.75660242683797,55.55555555555556,20.00951701165834,3.949559838210802,0.5472281703545087
Middle Village,36589,6.362567984913499,32120,160.32079936891927,20.08940310281357,35.156455429923746,68.5511438338154,48.64580594267684,132.52695240599525,64.23875887457271,13.226400210360243,4.6279253221141206
Midtown South-Flatiron-Union Square,25768,10.132722756907793,27789,9.60101329955668,3.103229892336922,2.2925902469917667,9.322355921469285,4.509183027232425,121.051298290057,69.01836605446485,31.184293856871438,11.057631412286257
Midtown-Times Square,21040,10.394486692015208,19860,19.752823353931387,6.477732793522267,5.774557852120179,19.007031749414022,14.468357127636905,133.9015555082037,98.89196675900277,36.84210526315789,12.934157255486895
